GROUP,R,G,B
0,0,0,255
1,1,1,254
2,2,2,253
3,3,3,252
4,4,4,251
5,5,5,250
6,6,6,249
7,7,7,248
8,8,8,247
9,9,9,246
10,10,10,245
11,11,11,244
12,12,12,243
13,13,13,242
14,14,14,241
15,15,15,240
16,16,16,239
17,17,17,238
18,18,18,237
19,19,19,236
20,20,20,235
21,21,21,234
22,22,22,233
23,23,23,232
24,24,24,231
25,25,25,230
26,26,26,229
27,27,27,228
28,28,28,227
29,29,29,226
30,30,30,225
31,31,31,224
32,32,32,223
33,33,33,222
34,34,34,221
35,35,35,220
36,36,36,219
37,37,37,218
38,38,38,217
39,39,39,216
40,40,40,215
41,41,41,214
42,42,42,213
43,43,43,212
44,44,44,211
45,45,45,210
46,46,46,209
47,47,47,208
48,48,48,207
49,49,49,206
50,50,50,205
51,51,51,204
52,52,52,203
53,53,53,202
54,54,54,201
55,55,55,200
56,56,56,199
57,57,57,198
58,58,58,197
59,59,59,196
60,60,60,195
61,61,61,194
62,62,62,193
63,63,63,192
64,64,64,191
65,65,65,190
66,66,66,189
67,67,67,188
68,68,68,187
69,69,69,186
70,70,70,185
71,71,71,184
72,72,72,183
73,73,73,182
74,74,74,181
75,75,75,180
76,76,76,179
77,77,77,178
78,78,78,177
79,79,79,176
80,80,80,175
81,81,81,174
82,82,82,173
83,83,83,172
84,84,84,171
85,85,85,170
86,86,86,169
87,87,87,168
88,88,88,167
89,89,89,166
90,90,90,165
91,91,91,164
92,92,92,163
93,93,93,162
94,94,94,161
95,95,95,160
96,96,96,159
97,97,97,158
98,98,98,157
99,99,99,156
100,100,100,155
101,101,101,154
102,102,102,153
103,103,103,152
104,104,104,151
105,105,105,150
106,106,106,149
107,107,107,148
108,108,108,147
109,109,109,146
110,110,110,145
111,111,111,144
112,112,112,143
113,113,113,142
114,114,114,141
115,115,115,140
116,116,116,139
117,117,117,138
118,118,118,137
119,119,119,136
120,120,120,135
121,121,121,134
122,122,122,133
123,123,123,132
124,124,124,131
125,125,125,130
126,126,126,129
127,127,127,128
128,128,128,127
129,129,127,126
130,130,126,125
131,131,125,124
132,132,124,123
133,133,123,122
134,134,122,121
135,135,121,120
136,136,120,119
137,137,119,118
138,138,118,117
139,139,117,116
140,140,116,115
141,141,115,114
142,142,114,113
143,143,113,112
144,144,112,111
145,145,111,110
146,146,110,109
147,147,109,108
148,148,108,107
149,149,107,106
150,150,106,105
151,151,105,104
152,152,104,103
153,153,103,102
154,154,102,101
155,155,101,100
156,156,100,99
157,157,99,98
158,158,98,97
159,159,97,96
160,160,96,95
161,161,95,94
162,162,94,93
163,163,93,92
164,164,92,91
165,165,91,90
166,166,90,89
167,167,89,88
168,168,88,87
169,169,87,86
170,170,86,85
171,171,85,84
172,172,84,83
173,173,83,82
174,174,82,81
175,175,81,80
176,176,80,79
177,177,79,78
178,178,78,77
179,179,77,76
180,180,76,75
181,181,75,74
182,182,74,73
183,183,73,72
184,184,72,71
185,185,71,70
186,186,70,69
187,187,69,68
188,188,68,67
189,189,67,66
190,190,66,65
191,191,65,64
192,192,64,63
193,193,63,62
194,194,62,61
195,195,61,60
196,196,60,59
197,197,59,58
198,198,58,57
199,199,57,56
200,200,56,55
201,201,55,54
202,202,54,53
203,203,53,52
204,204,52,51
205,205,51,50
206,206,50,49
207,207,49,48
208,208,48,47
209,209,47,46
210,210,46,45
211,211,45,44
212,212,44,43
213,213,43,42
214,214,42,41
215,215,41,40
216,216,40,39
217,217,39,38
218,218,38,37
219,219,37,36
220,220,36,35
221,221,35,34
222,222,34,33
223,223,33,32
224,224,32,31
225,225,31,30
226,226,30,29
227,227,29,28
228,228,28,27
229,229,27,26
230,230,26,25
231,231,25,24
232,232,24,23
233,233,23,22
234,234,22,21
235,235,21,20
236,236,20,19
237,237,19,18
238,238,18,17
239,239,17,16
240,240,16,15
241,241,15,14
242,242,14,13
243,243,13,12
244,244,12,11
245,245,11,10
246,246,10,9
247,247,9,8
248,248,8,7
249,249,7,6
250,250,6,5
251,251,5,4
252,252,4,3
253,253,3,2
254,254,2,1
255,255,1,0
